"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User Management","7","0","","0"
"0","","0","User Registration","2","0","","0"
"0","","0","Network Behavior","1","0","","0"
"0","","0","User Authentication","2","0","","0"
